CÓDIGO CHAVE PIX,CÓDIGO OCORRÊNCIA,CPF ENVOLVIDO,DATA OCORRÊNCIA,ESTADO OCORRÊNCIA,HORÁRIO OCORRÊNCIA,MUNICÍPIO OCORRÊNCIA,NOME ENVOLVIDO,REGISTRO DA VÍTIMA,TIPO DE CHAVE PIX,TIPOLOGIA,VALOR PAGAMENTO
894.987.136-45,PIX-02394,948.537.612-09,2023-08-08 00:00:00,SP,1899-12-30 20:13:05,GUARULHOS,BERNARDO DA MOTA,"VÍTIMA RELATA QUE APÓS INSERIR SEUS DADOS EM UM SITE FALSO DE VENDAS, UM VALOR FOI TRANSFERIDO VIA PIX SEM SUA AUTORIZAÇÃO.",CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 3300
894.987.136-45,PIX-02887,948.537.612-09,2023-12-04 00:00:00,MG,1899-12-30 14:12:49,UBERLÂNDIA,BERNARDO DA MOTA,"DECLARANTE FOI ENGANADO POR UM GOLPISTA QUE SE PASSOU POR SEU NETO EM DIFICULDADES, PEDINDO UM DEPÓSITO URGENTE VIA PIX.",CPF,FALSO PARENTE OU AMIGO EM NECESSIDADE,R$ 3700
905.214.783-32,PIX-00033,905.214.783-32,2022-01-07 00:00:00,RJ,1899-12-30 12:01:39,SÃO GONÇALO,DAVI LUIZ DA MOTA,VÍTIMA REPORTA QUE RECEBEU UMA MENSAGEM DE TEXTO SOLICITANDO UM PIX PARA EVITAR O CANCELAMENTO DE UM SERVIÇO INEXISTENTE.,CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 1350
905.214.783-32,PIX-00067,905.214.783-32,2022-01-17 00:00:00,RJ,1899-12-30 23:22:25,SÃO GONÇALO,DAVI LUIZ DA MOTA,VÍTIMA CAIU EM UM GOLPE ONDE UM FALSO PRESTADOR DE SERVIÇOS SOLICITOU UM PIX ANTECIPADO E NÃO REALIZOU O SERVIÇO.,CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 350
905.214.783-32,PIX-00070,905.214.783-32,2022-01-18 00:00:00,RJ,1899-12-30 08:39:49,SÃO GONÇALO,DAVI LUIZ DA MOTA,"VÍTIMA RECEBEU UM LINK FRAUDULENTO POR MENSAGEM, QUE A LEVOU A UMA PÁGINA FALSA DE BANCO. AO INSERIR SEUS DADOS, UM VALOR FOI TRANSFERIDO VIA PIX SEM SUA AUTORIZAÇÃO.",CPF,APLICATIVO OU PAGINA FAKE,R$ 3380
905.214.783-32,PIX-00098,905.214.783-32,2022-01-25 00:00:00,RJ,1899-12-30 20:51:26,SÃO GONÇALO,DAVI LUIZ DA MOTA,"VÍTIMA RELATA TER SIDO ENGANADA POR UM FALSO FUNCIONÁRIO DE BANCO QUE SOLICITOU UM PIX PARA 'VERIFICAR' SUA CONTA, RESULTANDO EM PERDA FINANCEIRA.",CPF,FALSO ATENDENTE,R$ 280
905.214.783-32,PIX-00116,905.214.783-32,2022-02-01 00:00:00,MS,1899-12-30 08:40:48,CAMPO GRANDE,DAVI LUIZ DA MOTA,"UM INDIVÍDUO SE PASSOU POR FILHO DA VÍTIMA, ALEGANDO UM ACIDENTE DE CARRO E SOLICITANDO UM PIX PARA COBERTURA DAS DESPESAS MÉDICAS.",CPF,FALSO SEQUESTRO,R$ 230
905.214.783-32,PIX-00125,905.214.783-32,2022-02-03 00:00:00,RJ,1899-12-30 19:20:13,SÃO GONÇALO,DAVI LUIZ DA MOTA,"VÍTIMA CAIU EM UM GOLPE DE FALSO INVESTIMENTO, ONDE FEZ UM PIX ACREDITANDO EM RETORNO RÁPIDO E GARANTIDO.",CPF,FALSA OFERTA DE EMPREGO,R$ 2120
913.842.670-69,PIX-00371,913.842.670-69,2022-04-05 00:00:00,RJ,1899-12-30 21:12:23,RIO DE JANEIRO,MIGUEL DA CONCEIÇÃO,VÍTIMA RELATA QUE RECEBEU UMA LIGAÇÃO DE UM FALSO SOBRINHO SOLICITANDO DINHEIRO VIA PIX PARA UMA EMERGÊNCIA MÉDICA.,CPF,FALSO PARENTE OU AMIGO EM NECESSIDADE,R$ 3130
913.842.670-69,PIX-01324,913.842.670-69,2022-11-09 00:00:00,MA,1899-12-30 17:31:38,SÃO LUÍS,MIGUEL DA CONCEIÇÃO,"VÍTIMA FOI ENGANADA POR UM FALSO ANÚNCIO DE CROWDFUNDING, ONDE REALIZOU UM PIX PARA PARTICIPAR.",CPF,FALSO ANUNCIO,R$ 1030
913.842.670-69,PIX-01380,913.842.670-69,2022-11-21 00:00:00,MA,1899-12-30 13:11:15,SÃO LUÍS,MIGUEL DA CONCEIÇÃO,"VÍTIMA RELATA QUE APÓS INSERIR SEUS DADOS EM UM SITE FALSO DE VENDAS, UM VALOR FOI TRANSFERIDO VIA PIX SEM SUA AUTORIZAÇÃO.",CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 2820
913.842.670-69,PIX-01423,913.842.670-69,2022-12-02 00:00:00,SP,1899-12-30 20:51:39,SÃO JOSÉ DOS CAMPOS,MIGUEL DA CONCEIÇÃO,"VÍTIMA RELATA TER SIDO ENGANADA POR UM FALSO FUNCIONÁRIO DE BANCO QUE SOLICITOU UM PIX PARA 'VERIFICAR' SUA CONTA, RESULTANDO EM PERDA FINANCEIRA.",CPF,FALSO ATENDENTE,R$ 950
913.842.670-69,PIX-01524,913.842.670-69,2022-12-30 00:00:00,SP,1899-12-30 15:57:32,SÃO PAULO,MIGUEL DA CONCEIÇÃO,"VÍTIMA RELATA TER SIDO ENGANADA POR UM ANÚNCIO FALSO DE VENDA DE PRODUTOS ELETRÔNICOS, ONDE FEZ UM PIX E NÃO RECEBEU OS PRODUTOS.",CPF,FALSO ANUNCIO,R$ 750
913.842.670-69,PIX-01625,913.842.670-69,2023-01-26 00:00:00,RJ,1899-12-30 13:58:45,DUQUE DE CAXIAS,MIGUEL DA CONCEIÇÃO,"APÓS ANÚNCIO DE VENDA ONLINE, VÍTIMA RECEBEU UM COMPROVANTE FALSO DE PAGAMENTO VIA PIX E ENTREGOU O PRODUTO, POSTERIORMENTE PERCEBENDO QUE O COMPROVANTE ERA FALSO.",CPF,COMPROVANTE FALSO,R$ 4580
913.842.670-69,PIX-01820,913.842.670-69,2023-03-09 00:00:00,MG,1899-12-30 18:01:37,BELO HORIZONTE,MIGUEL DA CONCEIÇÃO,"VÍTIMA INFORMA QUE FOI ENGANADA POR UM ANÚNCIO FALSO DE EMPRÉSTIMO, ONDE FOI SOLICITADO UM PIX COMO 'TAXA DE LIBERAÇÃO'.",CPF,FALSO EMPRÉSTIMO,R$ 400
970.851.236-21,PIX-02746,970.851.236-21,2023-10-31 00:00:00,SP,1899-12-30 15:55:54,SÃO PAULO,ISIS FERNANDES,UM GOLPISTA SE PASSOU POR REPRESENTANTE DE UMA OPERADORA DE TV E INTERNET SOLICITANDO PIX PARA UMA FALSA ATUALIZAÇÃO DE PLANO.,CPF,FALSO ATENDENTE,R$ 990
